report_id,report_text,rule_tags,llm_tags,llm_top_confidence,disagreement_type,priority
R077,A fall-arrest anchor point's failed inspection tag was ignored and the line was used anyway because no spare was available.,working_at_height,bypassing_safety_controls;working_at_height,0.95,llm_only,1
R078,A vehicle's reverse alarm was disconnected after complaints about noise on night shift.,driving,bypassing_safety_controls;driving,0.95,llm_only,1
R079,"A technician assumed a valve was closed based on the handle position, without confirming with a pressure gauge.",,energy_isolation,0.95,llm_only,1
R081,"A worker removed a lock from an isolated breaker to test if power was restored, without informing the crew.",energy_isolation,bypassing_safety_controls;energy_isolation,0.95,llm_only,1
R082,An isolation certificate was transferred to a new crew without a walkdown to confirm the points were still isolated.,energy_isolation,energy_isolation;work_authorisation,0.95,llm_only,1
R087,A worker climbed into a pit through a secondary opening that had not been included in the entry permit.,confined_space,confined_space;work_authorisation,0.95,llm_only,1
R088,Rescue equipment listed on the confined space permit was not actually staged at the entry point.,confined_space,confined_space;work_authorisation,0.95,llm_only,1
R089,A worker crouched next to a wellhead during a pressure test instead of standing behind the designated barrier.,,line_of_fire,0.95,llm_only,1
R090,An employee reached into a pinch point on a conveyor to clear debris while it was still running.,line_of_fire,energy_isolation;line_of_fire,0.95,llm_only,1
R092,Two workers stood on opposite sides of a pipe being straightened under tension when it snapped.,,line_of_fire,0.95,llm_only,1
R093,A worker stood downwind of a pressure relief vent during a blowdown.,,line_of_fire,0.95,llm_only,1
R095,Gas testing was performed at the start of a hot work job but not repeated after a shift change several hours later.,,hot_work;work_authorisation,0.95,llm_only,1
R097,Hot work continued through a wind shift that blew sparks toward a nearby vent stack.,,hot_work,0.95,llm_only,1
R098,"A contractor began cutting a pipe believed to be empty, but residual product ignited when the torch made contact.",,energy_isolation;hot_work,0.95,llm_only,1
R102,"Scaffold planks were missing toe boards, and a dropped tool struck a worker below.",,line_of_fire;working_at_height,0.95,llm_only,1
R103,A worker climbed onto equipment to gain height instead of using the available man-lift.,,working_at_height,0.95,llm_only,1
R105,"Riggers proceeded with a lift after noticing a frayed section of the sling, planning to inspect it after the job.",safe_mechanical_lifting,bypassing_safety_controls;safe_mechanical_lifting,0.95,llm_only,1
R107,"A worker used his hands to guide a load into place instead of a tag line, and his fingers were caught.",safe_mechanical_lifting,line_of_fire;safe_mechanical_lifting,0.95,llm_only,1
R110,A supervisor pressured a driver to keep driving past the mandated rest break to make a delivery window.,,driving,0.95,llm_only,1
R111,A driver took a shortcut on an unmaintained lease road in heavy rain and became stuck near a wash-out.,,driving,0.95,llm_only,1
R112,A worker rode in the bed of a pickup truck between well pads instead of using the cab.,,driving,0.95,llm_only,1
R113,A driver failed to chain up in icy conditions on a mountain access road and slid off the shoulder.,,driving,0.95,llm_only,1
R002,An employee was injured by an arc flash after equipment was re-energized. The employee was hospitalized.,energy_isolation,energy_isolation;line_of_fire,0.9,llm_only,1
R023,"An employee was driving an ATV on a gas well access road. Going downhill, the rear end slipped on leaves and the ATV slid into a rut and flipped, throwing the employee off. He suffered a broken collar",,driving,0.9,llm_only,1
R028,Machine guard on the mud pump was left off after maintenance because reinstalling it was slowing down the next job.,,bypassing_safety_controls;line_of_fire,0.9,llm_only,1
R084,"Gas testing equipment was not calibrated before use, giving a false safe reading inside a tank.",,confined_space,0.9,llm_only,1
R004,"An employee was preparing to shoot a fluid level on a well. He screwed an echo gun onto the well casing and opened the casing valve. The outside of the valve threads failed under pressure, releasing H",confined_space,line_of_fire,0.85,partial_disagree,1
R019,"An employee was loading equipment onto a truck, standing on a lubricator rack/catwalk while releasing straps on a crane, when the catwalk collapsed. He fell about 5 feet to the truck below and hit his",safe_mechanical_lifting,safe_mechanical_lifting;working_at_height,0.85,llm_only,1
R086,A ventilation blower was turned off partway through the job because it was making entry uncomfortably loud.,confined_space,bypassing_safety_controls;confined_space,0.85,llm_only,1
R003,"An employee found a frozen injection line and isolated it to pour in methanol to thaw it. While bleeding off gas from the isolated line and opening the needle valve, a flash fire occurred. He was burn",energy_isolation,energy_isolation;hot_work;line_of_fire,0.8,llm_only,1
R024,An employee operating construction equipment ran off the road at a construction site and suffered broken bones.,,driving,0.8,llm_only,1
R017,An employee was injured when a Genie man lift rolled over. The employee was hospitalized.,,working_at_height,0.7,llm_only,1
R021,An employee suffered an amputation injury while rigging up a top drive at a well site.,safe_mechanical_lifting,line_of_fire,0.7,partial_disagree,1
R016,"A work crew was rigging up and had just installed a guardrail. Before it was secured with bolts, an employee leaned against it and fell 26 feet to the ground, sustaining five fractures to his back.",safe_mechanical_lifting;working_at_height,working_at_height,0.98,rb_only,2
R065,A driver checked a work order on a mobile phone while driving on a lease road and drifted off the shoulder.,driving;work_authorisation,driving,0.98,rb_only,2
