report_id,energy_level,barrier_failure,human_proximity,exposure_duration,total_score,sif_potential,reasoning
R083,2,2,2,1,7,true,Stored high-pressure hydraulic fluid sprayed directly at the technician disconnecting the line due to a failure to verify depressurization.
R080,1,1,1,1,4,false,An isolation protocol for an unspecified energy source was only partially implemented with one of two required locks in place before work began.
R085,1,1,1,1,4,false,"The entrant continued working in a confined space without the required standby attendant present, though no active high-energy hazard was reported."
R082,1,1,0,0,2,false,"A procedural verification walkdown was missed during an isolation handover, but no active energy release occurred and no personnel were exposed to a hazard."
R084,2,2,1,1,6,false,Uncalibrated gas detection equipment gave a false-safe reading in a confined space tank containing hazardous gas where workers were preparing to enter.
R087,1,1,1,1,4,false,"A worker entered a pit through an unpermitted secondary opening, exposing themselves to potential low-magnitude gravity or confined space hazards without any active high-energy source present."
R086,1,2,1,1,5,false,"A critical ventilation blower was deliberately turned off during a confined space entry, exposing workers inside to potential atmospheric hazards."
R089,2,2,2,1,7,true,The worker was directly in the line of fire of high-pressure wellhead energy after bypassing the designated protective barrier during a pressure test.
R090,1,2,2,1,6,false,The employee bypassed critical isolation and guarding barriers by placing their hand directly into the active mechanical pinch point of a running conveyor.
R091,2,2,2,1,7,true,"A worker walked directly into the line of fire under a high-energy suspended load, bypassing the critical exclusion zone barrier."
R094,1,2,1,1,5,false,"Thermal energy from welding sparks ignited unshielded insulation, presenting a localized fire hazard to nearby workers."
R092,2,1,2,1,6,false,"High-magnitude stored mechanical energy was released when a tensioned pipe snapped, directly exposing two nearby workers in the line of fire."
R093,2,1,2,1,6,false,The worker was directly exposed downwind to high-pressure gas venting during a blowdown operation.
R088,1,1,1,0,3,false,"The safety report notes missing rescue equipment at a confined space entry, but no high-energy source is specified and no workers were reported inside or directly exposed."
R095,1,1,1,1,4,false,"A procedural gas testing barrier was missed after a shift change during hot work, but no active gas release or high-magnitude energy source was present."
R097,1,1,1,1,4,false,"Hot work sparks were blown toward a vent stack, creating a potential ignition hazard near the workers, though no gas release or ignition occurred."
R096,1,1,1,1,4,false,A worker operating a grinder was exposed to potential flash fire hazards due to the presence of an open drum of flammable solvent in the hot work area.
R098,1,2,2,1,6,false,A contractor was directly exposed to a flash fire when residual hydrocarbons ignited while they were cutting an unisolated pipe.
R099,2,1,2,1,6,false,The worker was directly exposed to a high-elevation fall hazard (gravity) while overreaching from an inadequately sized extension ladder.
R100,2,1,1,1,5,false,A worker on an elevated walkway was exposed to a potential fall from height while connected to an unrated handrail instead of a certified anchor point.
R101,1,2,2,1,6,false,A worker was directly exposed to a gravity fall hazard when he briefly removed his fall protection harness and slipped.
R102,1,2,2,1,6,false,A worker was directly struck by gravity energy from a dropped tool due to the complete absence of scaffold toe boards.
R103,1,1,2,1,5,false,"A worker was directly exposed to a potential fall hazard by climbing onto equipment instead of using a man-lift, though the exact height was unspecified."
R106,2,1,1,1,5,false,"The high-energy hazard involves a heavy suspended load with compromised crane stability, exposing nearby ground crew to potential crush injuries from a crane tip-over."
R105,2,1,1,1,5,false,"Riggers performed a lift using a degraded, frayed sling, exposing nearby personnel to gravity energy from a potential dropped load."
R104,2,2,1,1,6,false,"A heavy suspended load was hoisted using an incorrect sling configuration, presenting potential drop hazards to nearby personnel."
R107,1,1,2,1,5,false,Mechanical load-handling energy caught a worker's fingers directly in the pinch point during a brief manual positioning task.
R108,2,2,1,1,6,false,"A heavy suspended load from a dual crane lift was performed with a critical administrative barrier (dual-lift plan) fully absent, with rig personnel working in the vicinity."
R109,2,1,1,1,5,false,"The hazard involved a moving vehicle at speed with low brake fluid, and the driver was operating the vehicle mid-route without having completed the pre-trip inspection barrier."
R110,2,1,2,2,7,true,A moving vehicle at speed posed a high-energy hazard to the driver who experienced prolonged fatigue exposure.
R111,1,1,1,1,4,false,"The hazard involved a vehicle operating on an unmaintained road in heavy rain, with the driver experiencing a minor stuck-vehicle event without direct impact exposure."
R112,2,1,2,1,6,false,A moving vehicle presented kinetic energy while a worker rode unprotected in the truck bed in the direct path of potential ejection.
R113,2,2,2,1,7,true,"A moving vehicle slid off a mountain road, representing high mechanical/gravity energy with the driver directly exposed in the cab."
