report_id,detected_language,confidence,detected_scripts,original_text,translated_text,was_translated
R033,unknown,0,,Scaffold was used for working at height before the scaffold tag inspection had been completed and signed.,Scaffold was used for working at height before the scaffold tag inspection had been completed and signed.,false
R035,unknown,0,,"Pressure relief valve was gagged after repeated lifting during startup, to keep the unit online for the shift.","Pressure relief valve was gagged after repeated lifting during startup, to keep the unit online for the shift.",false
R036,unknown,0,,Emergency shutdown pushbutton on the wellhead was taped over to prevent accidental trips during a workover.,Emergency shutdown pushbutton on the wellhead was taped over to prevent accidental trips during a workover.,false
R037,unknown,0,,Gas detector alarm in the compressor shed was silenced and left disabled after nuisance alarms the previous week.,Gas detector alarm in the compressor shed was silenced and left disabled after nuisance alarms the previous week.,false
R038,english,1.0,latin,Interlock on the guard door of a shale shaker was defeated with a jumper wire so the crew could clear a blockage without stopping the equipment.,Interlock on the guard door of a shale shaker was defeated with a jumper wire so the crew could clear a blockage without stopping the equipment.,false
R039,english,1.0,latin,Low-level trip on a separator was overridden from the control room to avoid a false shutdown during a busy loading operation.,Low-level trip on a separator was overridden from the control room to avoid a false shutdown during a busy loading operation.,false
R040,english,1.0,latin,Seatbelt interlock on a forklift was disconnected because it kept stalling the engine on rough ground.,Seatbelt interlock on a forklift was disconnected because it kept stalling the engine on rough ground.,false
R043,english,1.0,latin,Mechanic began a pump seal replacement after misreading an isolation tag meant for an adjacent pump.,Mechanic began a pump seal replacement after misreading an isolation tag meant for an adjacent pump.,false
R041,english,1.0,latin,"Electrician started rewiring a junction box without verifying zero energy with a meter, relying only on the breaker tag.","Electrician started rewiring a junction box without verifying zero energy with a meter, relying only on the breaker tag.",false
R044,english,1.0,latin,"Crew removed a lockout on a conveyor to check a jam, without re-isolating before reaching in.","Crew removed a lockout on a conveyor to check a jam, without re-isolating before reaching in.",false
R042,english,1.0,latin,"Pipefitter opened a flange on a line believed to be isolated, but a bypass valve had not been closed, releasing residual product.","Pipefitter opened a flange on a line believed to be isolated, but a bypass valve had not been closed, releasing residual product.",false
R045,english,1.0,latin,"Worker entered a mud pit for cleaning without a current gas test, relying on the previous day's reading.","Worker entered a mud pit for cleaning without a current gas test, relying on the previous day's reading.",false
R048,english,1.0,latin,"Crew entered a below-grade vault to check a valve without testing for H2S, despite known sour gas history in the area.","Crew entered a below-grade vault to check a valve without testing for H2S, despite known sour gas history in the area.",false
R046,english,1.0,latin,Attendant left a tank entry unattended briefly to answer a radio call while the entrant continued work inside.,Attendant left a tank entry unattended briefly to answer a radio call while the entrant continued work inside.,false
R047,english,1.0,latin,"Two workers entered a separator vessel for inspection without a signed entry permit, assuming it was a quick look.","Two workers entered a separator vessel for inspection without a signed entry permit, assuming it was a quick look.",false
R049,english,1.0,latin,A worker stood under a suspended load while helping guide a pipe section into position with a tag line.,A worker stood under a suspended load while helping guide a pipe section into position with a tag line.,false
R050,english,1.0,latin,An employee walked through the swing radius of an active crane to reach a tool cart on the far side.,An employee walked through the swing radius of an active crane to reach a tool cart on the far side.,false
R051,english,1.0,latin,A crew member stood near a pressurized hose connection while it was being pressure-tested.,A crew member stood near a pressurized hose connection while it was being pressure-tested.,false
R052,english,1.0,latin,A worker positioned himself between a truck and a loading rack while the truck was still being spotted.,A worker positioned himself between a truck and a loading rack while the truck was still being spotted.,false
R053,unknown,0,,Welder began cutting near a tank containing residual hydrocarbon vapors without a gas test beforehand.,Welder began cutting near a tank containing residual hydrocarbon vapors without a gas test beforehand.,false
R054,unknown,0,,Grinding sparks ignited nearby rags soaked in solvent that had not been cleared from the work area.,Grinding sparks ignited nearby rags soaked in solvent that had not been cleared from the work area.,false
R055,unknown,0,,"A hot work permit was issued for one location, but the crew moved to weld at a second spot without re-checking the atmosphere there.","A hot work permit was issued for one location, but the crew moved to weld at a second spot without re-checking the atmosphere there.",false
R056,unknown,0,,"Fire watch was not maintained for the required time after welding finished, and a smoldering ember reignited nearby insulation.","Fire watch was not maintained for the required time after welding finished, and a smoldering ember reignited nearby insulation.",false
R057,unknown,0,,"A worker climbed a ladder to a platform without securing the ladder's base, and it slid out from under him.","A worker climbed a ladder to a platform without securing the ladder's base, and it slid out from under him.",false
R058,unknown,0,,An employee leaned over an unguarded edge of a tank roof to retrieve a dropped tool.,An employee leaned over an unguarded edge of a tank roof to retrieve a dropped tool.,false
R059,unknown,0,,A worker used a harness but failed to clip the lanyard to an approved anchor point while working on a flare stack.,A worker used a harness but failed to clip the lanyard to an approved anchor point while working on a flare stack.,false
R060,unknown,0,,"A crew member stood on the top rung of a stepladder to reach a valve, losing balance when it wobbled.","A crew member stood on the top rung of a stepladder to reach a valve, losing balance when it wobbled.",false
R061,unknown,0,,A rigger used a sling rated below the load weight because the correct sling was not available on site.,A rigger used a sling rated below the load weight because the correct sling was not available on site.,false
R062,unknown,0,,"A crane operator lifted a load with the boom angle steeper than the load chart allowed, causing the load to swing.","A crane operator lifted a load with the boom angle steeper than the load chart allowed, causing the load to swing.",false
R064,english,1.0,latin,"A tagline was not used during the lift of an awkward-shaped load, allowing it to spin and strike a nearby worker.","A tagline was not used during the lift of an awkward-shaped load, allowing it to spin and strike a nearby worker.",false
R066,english,1.0,latin,A crew truck driver exceeded the site speed limit on a gravel access road and lost control on a curve.,A crew truck driver exceeded the site speed limit on a gravel access road and lost control on a curve.,false
R063,english,1.0,latin,A worker stood within the fall radius while guiding a suspended pipe rack into place by hand.,A worker stood within the fall radius while guiding a suspended pipe rack into place by hand.,false
R068,english,1.0,latin,A driver failed to wear a seatbelt on a short site move and was thrown from the vehicle after hitting a pothole.,A driver failed to wear a seatbelt on a short site move and was thrown from the vehicle after hitting a pothole.,false
R065,english,1.0,latin,A driver checked a work order on a mobile phone while driving on a lease road and drifted off the shoulder.,A driver checked a work order on a mobile phone while driving on a lease road and drifted off the shoulder.,false
R067,english,1.0,latin,A night-shift driver was assigned a long solo trip to a remote well pad without a fatigue break and drifted into the oncoming lane.,A night-shift driver was assigned a long solo trip to a remote well pad without a fatigue break and drifted into the oncoming lane.,false
R071,english,1.0,latin,Crane operator moved a load without a signed lift permit because the crew lead said they had done this move before.,Crane operator moved a load without a signed lift permit because the crew lead said they had done this move before.,false
R072,english,1.0,latin,Electrical isolation was performed by a technician who was not listed as an authorized isolator on the permit.,Electrical isolation was performed by a technician who was not listed as an authorized isolator on the permit.,false
R073,english,1.0,latin,A confined space entry was authorized verbally by a supervisor over radio instead of a signed permit.,A confined space entry was authorized verbally by a supervisor over radio instead of a signed permit.,false
R075,english,1.0,latin,Guard on a rotating shaft was removed to clear a wrap and not reinstalled before restart.,Guard on a rotating shaft was removed to clear a wrap and not reinstalled before restart.,false
R070,english,1.0,latin,"A pipefitter started tie-in work after the permit's time window had expired, assuming the extension was automatic.","A pipefitter started tie-in work after the permit's time window had expired, assuming the extension was automatic.",false
R077,english,1.0,latin,A fall-arrest anchor point's failed inspection tag was ignored and the line was used anyway because no spare was available.,A fall-arrest anchor point's failed inspection tag was ignored and the line was used anyway because no spare was available.,false
R078,english,1.0,latin,A vehicle's reverse alarm was disconnected after complaints about noise on night shift.,A vehicle's reverse alarm was disconnected after complaints about noise on night shift.,false
R074,english,1.0,latin,A pressure switch that kept nuisance-tripping the pump was wired around during a night shift to avoid repeated callouts.,A pressure switch that kept nuisance-tripping the pump was wired around during a night shift to avoid repeated callouts.,false
R069,english,1.0,latin,"Wireline crew began rig-up work using a permit written for a different pad, since the correct one had not been issued yet.","Wireline crew began rig-up work using a permit written for a different pad, since the correct one had not been issued yet.",false
R076,unknown,0,,A high-high level alarm on a tank was muted in the DCS after repeated false alarms during a rain event.,A high-high level alarm on a tank was muted in the DCS after repeated false alarms during a rain event.,false
R079,unknown,0,,"A technician assumed a valve was closed based on the handle position, without confirming with a pressure gauge.","A technician assumed a valve was closed based on the handle position, without confirming with a pressure gauge.",false
R080,unknown,0,,"Two isolation points were required for the job, but only one was locked out before work began.","Two isolation points were required for the job, but only one was locked out before work began.",false
R081,unknown,0,,"A worker removed a lock from an isolated breaker to test if power was restored, without informing the crew.","A worker removed a lock from an isolated breaker to test if power was restored, without informing the crew.",false
R082,unknown,0,,An isolation certificate was transferred to a new crew without a walkdown to confirm the points were still isolated.,An isolation certificate was transferred to a new crew without a walkdown to confirm the points were still isolated.,false
R086,english,1.0,latin,A ventilation blower was turned off partway through the job because it was making entry uncomfortably loud.,A ventilation blower was turned off partway through the job because it was making entry uncomfortably loud.,false
R087,english,1.0,latin,A worker climbed into a pit through a secondary opening that had not been included in the entry permit.,A worker climbed into a pit through a secondary opening that had not been included in the entry permit.,false
R084,english,1.0,latin,"Gas testing equipment was not calibrated before use, giving a false safe reading inside a tank.","Gas testing equipment was not calibrated before use, giving a false safe reading inside a tank.",false
R088,english,1.0,latin,Rescue equipment listed on the confined space permit was not actually staged at the entry point.,Rescue equipment listed on the confined space permit was not actually staged at the entry point.,false
R089,english,1.0,latin,A worker crouched next to a wellhead during a pressure test instead of standing behind the designated barrier.,A worker crouched next to a wellhead during a pressure test instead of standing behind the designated barrier.,false
R085,english,1.0,latin,An entrant continued working after the attendant left the entry point to retrieve a forgotten tool.,An entrant continued working after the attendant left the entry point to retrieve a forgotten tool.,false
R090,english,1.0,latin,An employee reached into a pinch point on a conveyor to clear debris while it was still running.,An employee reached into a pinch point on a conveyor to clear debris while it was still running.,false
R091,english,1.0,latin,A worker walked under a boom while a crane was repositioning a load overhead.,A worker walked under a boom while a crane was repositioning a load overhead.,false
R092,english,1.0,latin,Two workers stood on opposite sides of a pipe being straightened under tension when it snapped.,Two workers stood on opposite sides of a pipe being straightened under tension when it snapped.,false
R093,english,1.0,latin,A worker stood downwind of a pressure relief vent during a blowdown.,A worker stood downwind of a pressure relief vent during a blowdown.,false
R083,english,1.0,latin,"A hydraulic line was assumed depressurized after shutdown, but stored pressure remained and sprayed fluid when disconnected.","A hydraulic line was assumed depressurized after shutdown, but stored pressure remained and sprayed fluid when disconnected.",false
R094,english,1.0,latin,"A welding blanket was not used to shield nearby insulation, which later ignited from stray sparks.","A welding blanket was not used to shield nearby insulation, which later ignited from stray sparks.",false
R095,english,1.0,latin,Gas testing was performed at the start of a hot work job but not repeated after a shift change several hours later.,Gas testing was performed at the start of a hot work job but not repeated after a shift change several hours later.,false
R096,english,1.0,latin,A grinder was used near an open drum of solvent that had not been moved out of the hot work area.,A grinder was used near an open drum of solvent that had not been moved out of the hot work area.,false
R097,english,1.0,latin,Hot work continued through a wind shift that blew sparks toward a nearby vent stack.,Hot work continued through a wind shift that blew sparks toward a nearby vent stack.,false
R098,unknown,0,,"A contractor began cutting a pipe believed to be empty, but residual product ignited when the torch made contact.","A contractor began cutting a pipe believed to be empty, but residual product ignited when the torch made contact.",false
R099,unknown,0,,"A worker used an extension ladder that was too short for the platform, overreaching from the top rungs.","A worker used an extension ladder that was too short for the platform, overreaching from the top rungs.",false
R100,unknown,0,,Fall protection was clipped to a handrail instead of a rated anchor point on an elevated walkway.,Fall protection was clipped to a handrail instead of a rated anchor point on an elevated walkway.,false
R101,unknown,0,,A worker removed his harness briefly to reposition tools and slipped before reattaching.,A worker removed his harness briefly to reposition tools and slipped before reattaching.,false
R102,unknown,0,,"Scaffold planks were missing toe boards, and a dropped tool struck a worker below.","Scaffold planks were missing toe boards, and a dropped tool struck a worker below.",false
R103,unknown,0,,A worker climbed onto equipment to gain height instead of using the available man-lift.,A worker climbed onto equipment to gain height instead of using the available man-lift.,false
R104,unknown,0,,A load was lifted using a single-leg sling instead of the required multi-leg configuration for the shape of the load.,A load was lifted using a single-leg sling instead of the required multi-leg configuration for the shape of the load.,false
R105,unknown,0,,"Riggers proceeded with a lift after noticing a frayed section of the sling, planning to inspect it after the job.","Riggers proceeded with a lift after noticing a frayed section of the sling, planning to inspect it after the job.",false
R106,unknown,0,,A crane's outriggers were not fully extended before a lift near the edge of its rated capacity.,A crane's outriggers were not fully extended before a lift near the edge of its rated capacity.,false
R107,english,1.0,latin,"A worker used his hands to guide a load into place instead of a tag line, and his fingers were caught.","A worker used his hands to guide a load into place instead of a tag line, and his fingers were caught.",false
R111,english,1.0,latin,A driver took a shortcut on an unmaintained lease road in heavy rain and became stuck near a wash-out.,A driver took a shortcut on an unmaintained lease road in heavy rain and became stuck near a wash-out.,false
R112,english,1.0,latin,A worker rode in the bed of a pickup truck between well pads instead of using the cab.,A worker rode in the bed of a pickup truck between well pads instead of using the cab.,false
R113,english,1.0,latin,A driver failed to chain up in icy conditions on a mountain access road and slid off the shoulder.,A driver failed to chain up in icy conditions on a mountain access road and slid off the shoulder.,false
R108,unknown,0,,Two cranes were used to lift a single load without a documented dual-lift plan.,Two cranes were used to lift a single load without a documented dual-lift plan.,false
R109,unknown,0,,A driver skipped the pre-trip vehicle inspection and later discovered the brakes were low on fluid mid-route.,A driver skipped the pre-trip vehicle inspection and later discovered the brakes were low on fluid mid-route.,false
R110,unknown,0,,A supervisor pressured a driver to keep driving past the mandated rest break to make a delivery window.,A supervisor pressured a driver to keep driving past the mandated rest break to make a delivery window.,false
