report_id,report_text,iogp_category_hint,source_type,source_id
R033,Scaffold was used for working at height before the scaffold tag inspection had been completed and signed.,work_authorisation,synthetic,SYN-07
R034,New contractor crew started excavation near buried pipeline markers without obtaining an excavation permit.,work_authorisation,synthetic,SYN-08
R035,"Pressure relief valve was gagged after repeated lifting during startup, to keep the unit online for the shift.",bypassing_safety_controls,synthetic,SYN-03
R036,Emergency shutdown pushbutton on the wellhead was taped over to prevent accidental trips during a workover.,bypassing_safety_controls,synthetic,SYN-04
R037,Gas detector alarm in the compressor shed was silenced and left disabled after nuisance alarms the previous week.,bypassing_safety_controls,synthetic,SYN-05
R038,Interlock on the guard door of a shale shaker was defeated with a jumper wire so the crew could clear a blockage without stopping the equipment.,bypassing_safety_controls,synthetic,SYN-06
R039,Low-level trip on a separator was overridden from the control room to avoid a false shutdown during a busy loading operation.,bypassing_safety_controls,synthetic,SYN-07
R040,Seatbelt interlock on a forklift was disconnected because it kept stalling the engine on rough ground.,bypassing_safety_controls,synthetic,SYN-08
R041,"Electrician started rewiring a junction box without verifying zero energy with a meter, relying only on the breaker tag.",energy_isolation,synthetic,SYN-01
R042,"Pipefitter opened a flange on a line believed to be isolated, but a bypass valve had not been closed, releasing residual product.",energy_isolation,synthetic,SYN-02
R043,Mechanic began a pump seal replacement after misreading an isolation tag meant for an adjacent pump.,energy_isolation,synthetic,SYN-03
R044,"Crew removed a lockout on a conveyor to check a jam, without re-isolating before reaching in.",energy_isolation,synthetic,SYN-04
R045,"Worker entered a mud pit for cleaning without a current gas test, relying on the previous day's reading.",confined_space,synthetic,SYN-01
R046,Attendant left a tank entry unattended briefly to answer a radio call while the entrant continued work inside.,confined_space,synthetic,SYN-02
R047,"Two workers entered a separator vessel for inspection without a signed entry permit, assuming it was a quick look.",confined_space,synthetic,SYN-03
R048,"Crew entered a below-grade vault to check a valve without testing for H2S, despite known sour gas history in the area.",confined_space,synthetic,SYN-04
R049,A worker stood under a suspended load while helping guide a pipe section into position with a tag line.,line_of_fire,synthetic,SYN-01
R050,An employee walked through the swing radius of an active crane to reach a tool cart on the far side.,line_of_fire,synthetic,SYN-02
R051,A crew member stood near a pressurized hose connection while it was being pressure-tested.,line_of_fire,synthetic,SYN-03
R052,A worker positioned himself between a truck and a loading rack while the truck was still being spotted.,line_of_fire,synthetic,SYN-04
R053,Welder began cutting near a tank containing residual hydrocarbon vapors without a gas test beforehand.,hot_work,synthetic,SYN-01
R054,Grinding sparks ignited nearby rags soaked in solvent that had not been cleared from the work area.,hot_work,synthetic,SYN-02
R055,"A hot work permit was issued for one location, but the crew moved to weld at a second spot without re-checking the atmosphere there.",hot_work,synthetic,SYN-03
R056,"Fire watch was not maintained for the required time after welding finished, and a smoldering ember reignited nearby insulation.",hot_work,synthetic,SYN-04
R057,"A worker climbed a ladder to a platform without securing the ladder's base, and it slid out from under him.",working_at_height,synthetic,SYN-01
R058,An employee leaned over an unguarded edge of a tank roof to retrieve a dropped tool.,working_at_height,synthetic,SYN-02
R059,A worker used a harness but failed to clip the lanyard to an approved anchor point while working on a flare stack.,working_at_height,synthetic,SYN-03
R060,"A crew member stood on the top rung of a stepladder to reach a valve, losing balance when it wobbled.",working_at_height,synthetic,SYN-04
R061,A rigger used a sling rated below the load weight because the correct sling was not available on site.,safe_mechanical_lifting,synthetic,SYN-01
R062,"A crane operator lifted a load with the boom angle steeper than the load chart allowed, causing the load to swing.",safe_mechanical_lifting,synthetic,SYN-02
R063,A worker stood within the fall radius while guiding a suspended pipe rack into place by hand.,safe_mechanical_lifting,synthetic,SYN-03
R064,"A tagline was not used during the lift of an awkward-shaped load, allowing it to spin and strike a nearby worker.",safe_mechanical_lifting,synthetic,SYN-04
R065,A driver checked a work order on a mobile phone while driving on a lease road and drifted off the shoulder.,driving,synthetic,SYN-01
R066,A crew truck driver exceeded the site speed limit on a gravel access road and lost control on a curve.,driving,synthetic,SYN-02
R067,A night-shift driver was assigned a long solo trip to a remote well pad without a fatigue break and drifted into the oncoming lane.,driving,synthetic,SYN-03
R068,A driver failed to wear a seatbelt on a short site move and was thrown from the vehicle after hitting a pothole.,driving,synthetic,SYN-04
R069,"Wireline crew began rig-up work using a permit written for a different pad, since the correct one had not been issued yet.",work_authorisation,synthetic,SYN-09
R070,"A pipefitter started tie-in work after the permit's time window had expired, assuming the extension was automatic.",work_authorisation,synthetic,SYN-10
R071,Crane operator moved a load without a signed lift permit because the crew lead said they had done this move before.,work_authorisation,synthetic,SYN-11
R072,Electrical isolation was performed by a technician who was not listed as an authorized isolator on the permit.,work_authorisation,synthetic,SYN-12
R073,A confined space entry was authorized verbally by a supervisor over radio instead of a signed permit.,work_authorisation,synthetic,SYN-13
R074,A pressure switch that kept nuisance-tripping the pump was wired around during a night shift to avoid repeated callouts.,bypassing_safety_controls,synthetic,SYN-09
R075,Guard on a rotating shaft was removed to clear a wrap and not reinstalled before restart.,bypassing_safety_controls,synthetic,SYN-10
R076,A high-high level alarm on a tank was muted in the DCS after repeated false alarms during a rain event.,bypassing_safety_controls,synthetic,SYN-11
R077,A fall-arrest anchor point's failed inspection tag was ignored and the line was used anyway because no spare was available.,bypassing_safety_controls,synthetic,SYN-12
R078,A vehicle's reverse alarm was disconnected after complaints about noise on night shift.,bypassing_safety_controls,synthetic,SYN-13
R079,"A technician assumed a valve was closed based on the handle position, without confirming with a pressure gauge.",energy_isolation,synthetic,SYN-05
R080,"Two isolation points were required for the job, but only one was locked out before work began.",energy_isolation,synthetic,SYN-06
R081,"A worker removed a lock from an isolated breaker to test if power was restored, without informing the crew.",energy_isolation,synthetic,SYN-07
R082,An isolation certificate was transferred to a new crew without a walkdown to confirm the points were still isolated.,energy_isolation,synthetic,SYN-08
R083,"A hydraulic line was assumed depressurized after shutdown, but stored pressure remained and sprayed fluid when disconnected.",energy_isolation,synthetic,SYN-09
R084,"Gas testing equipment was not calibrated before use, giving a false safe reading inside a tank.",confined_space,synthetic,SYN-05
R085,An entrant continued working after the attendant left the entry point to retrieve a forgotten tool.,confined_space,synthetic,SYN-06
R086,A ventilation blower was turned off partway through the job because it was making entry uncomfortably loud.,confined_space,synthetic,SYN-07
R087,A worker climbed into a pit through a secondary opening that had not been included in the entry permit.,confined_space,synthetic,SYN-08
R088,Rescue equipment listed on the confined space permit was not actually staged at the entry point.,confined_space,synthetic,SYN-09
R089,A worker crouched next to a wellhead during a pressure test instead of standing behind the designated barrier.,line_of_fire,synthetic,SYN-05
R090,An employee reached into a pinch point on a conveyor to clear debris while it was still running.,line_of_fire,synthetic,SYN-06
R091,A worker walked under a boom while a crane was repositioning a load overhead.,line_of_fire,synthetic,SYN-07
R092,Two workers stood on opposite sides of a pipe being straightened under tension when it snapped.,line_of_fire,synthetic,SYN-08
R093,A worker stood downwind of a pressure relief vent during a blowdown.,line_of_fire,synthetic,SYN-09
R094,"A welding blanket was not used to shield nearby insulation, which later ignited from stray sparks.",hot_work,synthetic,SYN-05
R095,Gas testing was performed at the start of a hot work job but not repeated after a shift change several hours later.,hot_work,synthetic,SYN-06
R096,A grinder was used near an open drum of solvent that had not been moved out of the hot work area.,hot_work,synthetic,SYN-07
R097,Hot work continued through a wind shift that blew sparks toward a nearby vent stack.,hot_work,synthetic,SYN-08
R098,"A contractor began cutting a pipe believed to be empty, but residual product ignited when the torch made contact.",hot_work,synthetic,SYN-09
R099,"A worker used an extension ladder that was too short for the platform, overreaching from the top rungs.",working_at_height,synthetic,SYN-05
R100,Fall protection was clipped to a handrail instead of a rated anchor point on an elevated walkway.,working_at_height,synthetic,SYN-06
R101,A worker removed his harness briefly to reposition tools and slipped before reattaching.,working_at_height,synthetic,SYN-07
R102,"Scaffold planks were missing toe boards, and a dropped tool struck a worker below.",working_at_height,synthetic,SYN-08
R103,A worker climbed onto equipment to gain height instead of using the available man-lift.,working_at_height,synthetic,SYN-09
R104,A load was lifted using a single-leg sling instead of the required multi-leg configuration for the shape of the load.,safe_mechanical_lifting,synthetic,SYN-05
R105,"Riggers proceeded with a lift after noticing a frayed section of the sling, planning to inspect it after the job.",safe_mechanical_lifting,synthetic,SYN-06
R106,A crane's outriggers were not fully extended before a lift near the edge of its rated capacity.,safe_mechanical_lifting,synthetic,SYN-07
R107,"A worker used his hands to guide a load into place instead of a tag line, and his fingers were caught.",safe_mechanical_lifting,synthetic,SYN-08
R108,Two cranes were used to lift a single load without a documented dual-lift plan.,safe_mechanical_lifting,synthetic,SYN-09
R109,A driver skipped the pre-trip vehicle inspection and later discovered the brakes were low on fluid mid-route.,driving,synthetic,SYN-05
R110,A supervisor pressured a driver to keep driving past the mandated rest break to make a delivery window.,driving,synthetic,SYN-06
R111,A driver took a shortcut on an unmaintained lease road in heavy rain and became stuck near a wash-out.,driving,synthetic,SYN-07
R112,A worker rode in the bed of a pickup truck between well pads instead of using the cab.,driving,synthetic,SYN-08
R113,A driver failed to chain up in icy conditions on a mountain access road and slid off the shoulder.,driving,synthetic,SYN-09
